TANGGAL,TAVG,RR
01-01-17,28.2,0.7
02-01-17,-,3.2
03-01-17,28.5,-
04-01-17,29.9,0
05-01-17,29.4,0
06-01-17,26.8,5
07-01-17,28.7,5
08-01-17,29.3,-
09-01-17,28.4,-
12-01-17,28.6,1.1
01-02-17,28.8,8888
02-02-17,-,28.9
03-02-17,28.3,0
04-02-17,28.6,-
05-02-17,29.4,1.8
06-02-17,27.6,-
07-02-17,27.8,-
08-02-17,27.9,-
09-02-17,28.4,-
10-02-17,28.5,-
11-02-17,29.1,-
01-03-17,29.4,0
02-03-17,27.2,8888
03-03-17,-,2.3
04-03-17,27.1,3.1
05-03-17,28.5,13.3
06-03-17,28.4,-
07-03-17,-,4.5
08-03-17,28.9,-
09-03-17,27.7,0
11-03-17,30,0
12-03-17,-,-
01-04-17,28.2,2.1
03-04-17,-,15.2
04-04-17,28.9,-
05-04-17,29.2,1
06-04-17,29.1,-
07-04-17,-,-
08-04-17,28.9,0
09-04-17,28.5,0
10-04-17,29,0
11-04-17,30.1,-
01-05-17,26.9,7.1
02-05-17,29.3,0
03-05-17,28.1,8888
04-05-17,29.5,-
05-05-17,28.2,21.4
06-05-17,28.8,0
07-05-17,28.3,-
08-05-17,-,0
09-05-17,28.4,0
10-05-17,28.5,4.2
11-05-17,30.3,-
12-05-17,-,-
01-06-17,27.5,21.9
02-06-17,-,1.1
04-06-17,28.5,8888
05-06-17,27.9,14.8
06-06-17,28.9,0
07-06-17,-,-
08-06-17,28.6,-
09-06-17,28.6,0.8
11-06-17,29.3,-
12-06-17,29.5,-
01-07-17,27,16
02-07-17,28.9,0
03-07-17,26.8,2.2
04-07-17,28.4,1.1
05-07-17,27.5,0
06-07-17,29.3,-
07-07-17,-,-
08-07-17,27.4,13.4
09-07-17,28.2,-
10-07-17,29.3,2
11-07-17,28.7,8.6
12-07-17,28,-
01-08-17,28.1,13.7
02-08-17,28.4,2.7
03-08-17,27.4,36
04-08-17,28.2,9.7
05-08-17,25.8,1.8
06-08-17,28.1,-
07-08-17,27.5,-
09-08-17,27.9,-
10-08-17,28.2,-
11-08-17,26.5,-
01-09-17,28,3.5
03-09-17,27.1,3.1
04-09-17,27.4,2.2
05-09-17,27.7,13.4
06-09-17,28.7,8888
07-09-17,28.2,-
09-09-17,28.8,-
10-09-17,27.1,13.2
11-09-17,26.8,27.6
12-09-17,28.9,-
01-10-17,27.9,0
02-10-17,26.8,4.5
03-10-17,28.6,2.1
04-10-17,28.3,31
05-10-17,26.9,3.8
06-10-17,-,0
07-10-17,28.3,-
08-10-17,28.4,0
09-10-17,29.4,0
10-10-17,28.6,1.4
11-10-17,28.4,52
12-10-17,-,-
01-11-17,27,8.2
02-11-17,-,4.4
03-11-17,28.4,-
04-11-17,28.5,1.5
05-11-17,26.8,4.5
06-11-17,28.7,0
07-11-17,28.5,-
08-11-17,28.4,-
09-11-17,28.2,-
10-11-17,-,-
11-11-17,29.8,0
12-11-17,29.1,-
01-12-17,28.3,2.4
02-12-17,-,3.5
03-12-17,28.5,0
04-12-17,29,0.8
05-12-17,27.5,12.8
