timestamp,location,rainfall,humidity,temperature,wind_speed,bulan,tahun,musim
2015-01-01,Bandar Lampung,0.1,98,24.8,2.0,1,2015,Musim Hujan
2015-01-02,Metro,0.1,99,26.3,1.9,1,2015,Musim Hujan
2015-01-03,Lampung Barat,10.5,99,25.0,4.0,1,2015,Musim Hujan
2015-01-04,Lampung Selatan,28.0,99,28.0,7.5,1,2015,Musim Hujan
2015-01-05,Lampung Tengah,0.1,92,26.9,3.4,1,2015,Musim Hujan
2015-01-06,Lampung Timur,79.6,87,27.1,5.4,1,2015,Musim Hujan
2015-01-07,Lampung Utara,23.5,90,26.6,3.6,1,2015,Musim Hujan
2015-01-08,Mesuji,15.4,99,25.6,3.5,1,2015,Musim Hujan
2015-01-09,Pesawaran,84.3,92,27.3,5.6,1,2015,Musim Hujan
2015-01-10,Pesisir Barat,28.2,90,27.1,5.4,1,2015,Musim Hujan
2015-01-11,Pringsewu,5.5,96,26.4,1.6,1,2015,Musim Hujan
2015-01-12,Tanggamus,0.1,97,25.7,3.8,1,2015,Musim Hujan
2015-01-13,Tulang Bawang,15.3,99,26.8,2.5,1,2015,Musim Hujan
2015-01-14,Tulang Bawang Barat,2.1,99,25.8,3.8,1,2015,Musim Hujan
2015-01-15,Way Kanan,0.1,90,27.2,1.7,1,2015,Musim Hujan
2015-01-16,Bandar Lampung,4.8,99,27.7,4.0,1,2015,Musim Hujan
2015-01-17,Metro,0.1,96,28.2,1.7,1,2015,Musim Hujan
2015-01-18,Lampung Barat,0.1,89,26.7,3.4,1,2015,Musim Hujan
2015-01-19,Lampung Selatan,26.4,99,25.6,5.6,1,2015,Musim Hujan
2015-01-20,Lampung Tengah,0.1,79,27.4,3.8,1,2015,Musim Hujan
2015-01-21,Lampung Timur,5.0,90,27.0,2.5,1,2015,Musim Hujan
2015-01-22,Lampung Utara,8.8,94,26.8,1.8,1,2015,Musim Hujan
2015-01-23,Mesuji,0.1,95,27.8,2.0,1,2015,Musim Hujan
2015-01-24,Pesawaran,23.8,99,25.1,2.8,1,2015,Musim Hujan
2015-01-25,Pesisir Barat,0.1,94,27.5,2.8,1,2015,Musim Hujan
2015-01-26,Pringsewu,0.1,87,26.6,1.3,1,2015,Musim Hujan
2015-01-27,Tanggamus,0.1,80,27.0,4.1,1,2015,Musim Hujan
2015-01-28,Tulang Bawang,0.1,82,26.2,4.0,1,2015,Musim Hujan
2015-01-29,Tulang Bawang Barat,0.1,97,25.6,3.7,1,2015,Musim Hujan
2015-01-30,Way Kanan,0.1,89,28.5,3.5,1,2015,Musim Hujan
2015-01-31,Bandar Lampung,27.3,98,25.8,3.9,1,2015,Musim Hujan
2015-02-01,Metro,0.1,96,27.3,2.4,2,2015,Musim Hujan
2015-02-02,Lampung Barat,8.3,99,26.2,2.9,2,2015,Musim Hujan
2015-02-03,Lampung Selatan,0.1,89,27.5,4.5,2,2015,Musim Hujan
2015-02-04,Lampung Tengah,22.8,99,25.8,4.2,2,2015,Musim Hujan
2015-02-05,Lampung Timur,8.8,99,25.4,2.0,2,2015,Musim Hujan
2015-02-06,Lampung Utara,0.1,97,26.5,2.4,2,2015,Musim Hujan
2015-02-07,Mesuji,0.1,81,26.6,2.2,2,2015,Musim Hujan
2015-02-08,Pesawaran,0.1,87,25.6,3.6,2,2015,Musim Hujan
2015-02-09,Pesisir Barat,27.3,85,26.5,4.6,2,2015,Musim Hujan
2015-02-10,Pringsewu,4.2,99,25.9,1.3,2,2015,Musim Hujan
2015-02-11,Tanggamus,0.1,83,26.6,3.3,2,2015,Musim Hujan
2015-02-12,Tulang Bawang,23.1,98,26.0,3.3,2,2015,Musim Hujan
2015-02-13,Tulang Bawang Barat,15.3,91,26.5,1.3,2,2015,Musim Hujan
2015-02-14,Way Kanan,21.9,99,25.9,3.5,2,2015,Musim Hujan
2015-02-15,Bandar Lampung,8.2,90,27.4,3.5,2,2015,Musim Hujan
2015-02-16,Metro,22.4,99,26.5,2.9,2,2015,Musim Hujan
2015-02-17,Lampung Barat,9.6,99,25.2,2.0,2,2015,Musim Hujan
2015-02-18,Lampung Selatan,0.1,84,27.0,4.4,2,2015,Musim Hujan
2015-02-19,Lampung Tengah,0.1,90,25.7,4.5,2,2015,Musim Hujan
2015-02-20,Lampung Timur,0.1,99,25.8,3.6,2,2015,Musim Hujan
2015-02-21,Lampung Utara,3.4,95,26.3,2.2,2,2015,Musim Hujan
2015-02-22,Mesuji,16.0,99,28.2,4.2,2,2015,Musim Hujan
2015-02-23,Pesawaran,29.0,86,28.6,7.3,2,2015,Musim Hujan
2015-02-24,Pesisir Barat,0.1,84,25.6,3.0,2,2015,Musim Hujan
2015-02-25,Pringsewu,0.1,98,26.4,2.8,2,2015,Musim Hujan
2015-02-26,Tanggamus,0.1,88,25.9,1.4,2,2015,Musim Hujan
2015-02-27,Tulang Bawang,16.9,91,28.1,3.7,2,2015,Musim Hujan
2015-02-28,Tulang Bawang Barat,0.1,87,28.1,1.3,2,2015,Musim Hujan
2015-03-01,Way Kanan,0.1,94,27.5,4.0,3,2015,Musim Hujan
2015-03-02,Bandar Lampung,8.5,89,26.7,3.4,3,2015,Musim Hujan
2015-03-03,Metro,0.1,83,26.7,1.7,3,2015,Musim Hujan
2015-03-04,Lampung Barat,0.1,81,27.1,3.6,3,2015,Musim Hujan
2015-03-05,Lampung Selatan,0.1,89,27.0,2.2,3,2015,Musim Hujan
2015-03-06,Lampung Tengah,58.8,99,26.4,3.4,3,2015,Musim Hujan
2015-03-07,Lampung Timur,0.1,91,26.5,3.9,3,2015,Musim Hujan
2015-03-08,Lampung Utara,0.1,94,28.0,2.9,3,2015,Musim Hujan
2015-03-09,Mesuji,18.4,94,26.1,2.3,3,2015,Musim Hujan
2015-03-10,Pesawaran,13.0,99,27.5,2.1,3,2015,Musim Hujan
2015-03-11,Pesisir Barat,24.9,99,26.1,1.8,3,2015,Musim Hujan
2015-03-12,Pringsewu,21.5,99,26.1,1.6,3,2015,Musim Hujan
2015-03-13,Tanggamus,0.1,99,26.9,1.4,3,2015,Musim Hujan
2015-03-14,Tulang Bawang,0.1,92,27.0,1.3,3,2015,Musim Hujan
2015-03-15,Tulang Bawang Barat,6.5,99,25.5,1.6,3,2015,Musim Hujan
2015-03-16,Way Kanan,0.1,90,25.9,2.1,3,2015,Musim Hujan
2015-03-17,Bandar Lampung,20.7,86,27.5,1.4,3,2015,Musim Hujan
2015-03-18,Metro,6.5,99,27.3,3.7,3,2015,Musim Hujan
2015-03-19,Lampung Barat,6.8,87,27.9,2.4,3,2015,Musim Hujan
2015-03-20,Lampung Selatan,0.1,87,27.6,3.6,3,2015,Musim Hujan
2015-03-21,Lampung Tengah,5.5,89,27.0,1.3,3,2015,Musim Hujan
2015-03-22,Lampung Timur,0.1,84,26.1,4.3,3,2015,Musim Hujan
2015-03-23,Lampung Utara,5.2,99,26.8,2.7,3,2015,Musim Hujan
2015-03-24,Mesuji,12.3,93,26.3,4.4,3,2015,Musim Hujan
2015-03-25,Pesawaran,0.1,82,27.4,1.8,3,2015,Musim Hujan
2015-03-26,Pesisir Barat,0.1,88,27.3,1.3,3,2015,Musim Hujan
2015-03-27,Pringsewu,18.9,92,25.8,2.7,3,2015,Musim Hujan
2015-03-28,Tanggamus,0.1,99,26.7,3.2,3,2015,Musim Hujan
2015-03-29,Tulang Bawang,9.6,99,26.8,1.2,3,2015,Musim Hujan
2015-03-30,Tulang Bawang Barat,23.1,99,24.7,3.1,3,2015,Musim Hujan
2015-03-31,Way Kanan,8.5,99,28.5,3.8,3,2015,Musim Hujan
2015-04-01,Bandar Lampung,0.1,92,26.2,2.8,4,2015,Peralihan
2015-04-02,Metro,0.1,82,27.5,4.2,4,2015,Peralihan
2015-04-03,Lampung Barat,0.1,90,26.0,4.5,4,2015,Peralihan
2015-04-04,Lampung Selatan,0.1,87,26.9,2.0,4,2015,Peralihan
2015-04-05,Lampung Tengah,0.1,93,26.7,2.1,4,2015,Peralihan
2015-04-06,Lampung Timur,28.7,99,27.4,4.0,4,2015,Peralihan
2015-04-07,Lampung Utara,27.2,94,25.3,5.4,4,2015,Peralihan
2015-04-08,Mesuji,0.1,80,27.4,3.8,4,2015,Peralihan
2015-04-09,Pesawaran,0.1,78,28.8,2.3,4,2015,Peralihan
2015-04-10,Pesisir Barat,0.1,98,25.3,3.4,4,2015,Peralihan
