Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
241,1806 101 20240609 1,1806,09-06-24,BANJIR,Kec. Kotaagung Barat Ds. Way Gelang Ds. Teba Bunuk Kec. Pugung Ds. Gunung Kasih Ds. Tanjung Agung  Kec. Kotaagung Timur Ds. Batu Keramat,TANGGAMUS,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,3,112,0
279,1806 101 20240525 1,1806,25-05-24,BANJIR,Kec. Talang Padang Ds. Sinar Banten Ds. Sinar Petir Ds. Way Halom DS. Suka Mandi Ds. Suka Bumi Ds. Sukanegeri Jaya Ds. Suka Merindu Ds. Kali Bening Ds. Banding Agung Ds. Talang Padang Ds. Sinar Harapan Ds. Banjarsari Ds. Sukarame Ds. Suka Bandung Ds. Negeri Agung Ds. Sinar Semendo Kec. Kota Agung Timur Ds.  Sukabanjar Kec. Ulu Belu Ds. Datarajan Kec. Bandar Negeri Semuong  Ds. Banding  Ds. Gunung Doh  Ds. Sinar Bangun  Kec. Air Naningan  Ds. Sinar Jaya  Kec. Kota Agung Barat  Ds. Kanyangan  Ds. Belu  Ds. Banjar Masin  Ds. Negara Batin  Ds. Tanjung Agung  Kec. Wonosobo  Ds. Bandar Kejadian  Ds. Karanganyar  Kec. Semaka Ds. Sukaraja  Ds. Sedayu,TANGGAMUS,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,4,1,0,0,385,0
287,1811 101 20240524 1,1811,24-05-24,BANJIR,Kec. Simpang Pematang Ds. Simpang mesuji,MESUJI,LAMPUNG,Dokumentasi,?Akibat adanya intensitas curah hujan yang cukup tinggi,0,0,0,0,15,0
288,1809 101 20240524 1,1809,24-05-24,BANJIR,Kec. Padang Cermin Ds. Gayau Ds. Durian Ds. Sanggi Kec. Marga Punduh Ds. Suka Jaya Punduh,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,425,0
289,1810 101 20240524 1,1810,24-05-24,BANJIR,Kec. Ambarawa Ds. Jati Agung Ds. Margodadi  Kec. Pringsewu  Ds. Margakaya Ds. Sidoharjo,PRINGSEWU,LAMPUNG,Dokumentasi,"?hujan dengan intensitas lebat di beberapa wilayah Di Kab. Pringsewu, menyebabkan Sungai Way Tebu meluap dan menggenangi pemukiman warga",0,0,0,0,125,0
290,1805 101 20240524 1,1805,24-05-24,BANJIR,Kec. Dente Teladas Kamp. Sungai Burung Kamp. Bratasena Mandiri  Kamp. Pasiran Jaya,TULANG BAWANG,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi dan pasang air laut,0,0,0,0,380,0
302,1804 101 20240522 1,1804,22-05-24,BANJIR,Kec. Kebun Tebu Ds. Pura Wiwitan,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi menyebabkan Way (sungai) Best Meluap,0,0,0,0,21,0
509,1871 101 20240412 1,1871,12-04-24,BANJIR,Kec. Teluk Betung  Kel. Pesawahan  Kec. Teluk Betung Selatan  Kel. Gedung Pakuan  Kel. Pesawahan  Kec. Teluk Betung Barat  Kel. Bakung  Kel. Olok Gading,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Hujan dengan intensitas tinggi mengguyur beberapa wilayah Kota Bandar Lampung sejak PKL. 02.00 WIB Jumat dini hari, puncaknya air mulai menggenangi pada PKL. 04.00 WIB.",0,0,0,0,789,0
510,1809 101 20240412 1,1809,12-04-24,BANJIR,Kec. Kedongdong  Ds. Teba Jawa  Ds. Way Kepayang  Ds. Gunung Sugih  Kec. Gedong Tataan  Ds.  Bagelen  Kec. Way Lima  Ds. Tanjung Agung  Kec. Way  Khilau  Ds. Mada Jaya  Ds. Kubu Batu  Ds. Tanjung Rejo,PESAWARAN,LAMPUNG,Dokumentasi,?Disebabkan hujan dengan intensitas tinggi pada Hari Jumat Tanggal 12 April 2024 pada Pukul 02.00 d.d Pukul 04.00 sehingga mengakibatkan meluapnya sungai Way Padang Ratu,0,0,0,0,338,0
542,1871 101 20240405 1,1871,05-04-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Kec. Kedaton Kel. Kedaton Kel. Surabaya Kec. Way Halim Kel. Jagabaya 3,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?Dikarenakan Hujan Deras Sehingga Mengakibatkan Banjir dan Merendam Rumah Warga,0,0,0,0,115,0
632,1809 101 20240311 1,1809,11-03-24,BANJIR,Kec. Teluk Pandan Ds. Sukajaya Lempasing,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,52,0
673,1813 101 20240308 1,1813,08-03-24,BANJIR,Kec. Kec. Ngambur  Ds. Negeri Ratu Ds. Mon Ds. Bumi Ratu,PESISIR BARAT,LAMPUNG,Dokumentasi,?Dipicu hujan dengan Intensitas Tinggi sejak kemarin mengakibatkan meluapnya Sungai Hanakau dan Sungai Talema menyebabkan banjir yg masuk ke pemukiman rumah warga.,0,0,0,0,30,0
733,1809 101 20240302 1,1809,02-03-24,BANJIR,Kec.  Way Ratai Ds. Bunut  Kec. Padang Cermin Ds. Way Urang,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,172,0
747,1801 101 20240228 1,1801,28-02-24,BANJIR,Kec. Sragi Ds. Sumber Agung Ds. Bandar Agung Kec.Ketapang Ds. Sumber Nadi Ds. Pematang Pasir Kec. Penengahan Ds. Gandri,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Intensitas hujan yang cukup tinggi,0,0,0,0,177,1
751,1871 101 20240226 1,1871,26-02-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Raya Kec. Sukabumi Kel. Campang Raya,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Dikarenakan intensitas hujan yang turun dan Akibat banjir di wilayah tersebut,sehingga mengakibatkan warga kesulitan memenuhi kebutuhan air bersih setelah Pasca Banjir",0,0,0,0,,0
771,1801 101 20240224 1,1801,24-02-24,BANJIR,Kec. Natar  Ds. Hajimena DS. Natar Ds. Sidosari,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,"?Dipicu oleh hujan dengan intensitas tinggi dan air bah limpas dari saluran sekunder Pada hari Sabtu, 24 Februari 2024 Pkl. 19.00 WIB",0,0,0,0,150,0
772,1809 101 20240224 1,1809,24-02-24,BANJIR,Kec. Gedong Tataan Ds. Negeri Sakti,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,40,0
774,1805 101 20240223 1,1805,23-02-24,BANJIR,Kec. Gedung Meneng Ds. Bakung Udik,TULANG BAWANG,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,36,0
790,1808 101 20240219 1,1808,19-02-24,BANJIR,Kec. Negara Batin Kampung Sri Menanti,WAY KANAN,LAMPUNG,Dokumentasi,?Hujan deras mengakibatkan meluapnya Sungai Way Kanan,0,0,0,0,138,0
816,1803 101 20240212 1,1803,12-02-24,BANJIR,"Jl. Bukit Pesagi, Gg. Rawa Karya RT 05 LK 3 Kec. Kotabumi Selatan Kab. Lampung Utara",LAMPUNG UTARA,LAMPUNG,Dokumentasi,,0,0,0,0,27,0
826,1871 101 20240211 1,1871,11-02-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Induk Kel. Rajabasa Nunyai Kec. Wai Halim Kel. Wai Halim Permai Kel. Jagabaya III Kec. Labuhan Ratu Kel. Labuhan Ratu Kec. Kedaton Kel. Kedaton Kec. Panjang Kel. Ketapang Kec. Bumi Waras Kel. Garuntang,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Dipicu air hujan yang turun dengan intensitas tinggi menyebabkan air naik ke pemukiman warga, sehingga mengakibatkan banjir di beberapa titik di kota Bandar Lampung",0,0,0,0,193,0
840,1805 101 20240209 1,1805,09-02-24,BANJIR,Kec. Gedung Aji Baru  Kamp. Mesir Dwi Jaya Kamp. Sido Mekar Kamp. Mekar Asri Kec. Rawa Pitu  Kamp. Panggung Mulya Kamp. Sumber Agung Kec. Gedung Aji Kamp. Aji Mesir Kamp. Bandar Aji Jaya Kec. Penawar Aji  Kamp. Gedung Asri  Kec. Rawa Jitu Selatan  Kamp. Gedung Karya jitu  Kamp. Meda SAri Kamp. Hargo Rejo,TULANG BAWANG,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,0,0,0,0,4913,0
965,1811 101 20240117 1,1811,17-01-24,BANJIR,Kec. Simpang Pematang Ds. Simpang Mesuji Ds. Simpang Pematang Ds. Jaya Sakti Kec. Panca Jaya Ds. Adi Luhur,MESUJI,LAMPUNG,Dokumentasi,?Dipicu oleh Hujan dengan intensitas tinggi,0,0,0,0,48,0
1278,1806 101 2023 011 030 1,1806,30-11-23,BANJIR,Kec. Pematang Sawa  Ds. Tanjungan Ds. Betung Kec. Semaka Ds. Tugu Papak Ds. Sukajaya,TANGGAMUS,LAMPUNG,Dokumentasi,?akibat jebolnya tanggul sungai sehingga air meluap dan merendam pemukiman,,,,14,109,2
1287,1804 101 2023 011 027 1,1804,27-11-23,BANJIR,Kec. Sukau Ds. Buay Nyerupa,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas sedang dengan durasi yang cukup lama,,,,0,15,0
1544,1806 101 2023 06 029 1,1806,29-06-23,BANJIR,Kec. Semaka Ds. Srikaton Ds. Sukajaya Ds. Kacapura Ds. Sukaraja Ds. Sidodadi Ds. Bangunrejo Ds. Sripurnomo Ds. Pardawaras Ds. Waykerap Ds. Sedayu,TANGGAMUS,LAMPUNG,Dokumentasi,"?curah hujan dengan intensitas tinggi mengakibatkan banjir serta tertutupnya jalan oleh material longsor seperti batu, lumpur dan kayu",,,,5,1224,0
1629,1871 101 2023 05 08 1,1871,08-05-23,BANJIR,Kec. Bumi waras Kel. Bumi Raya,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?Dipicu curah hujan dengan intensitas yang tinggi,,,,0,10,0
1666,1871 101 2023 05 02 1,1871,02-05-23,BANJIR,Kec. Sukabumi  Kel. Way Laga Kec. Bumi Waras Kel. Way lunik,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?curah hujan dengan intensitas sedang-tinggi,,,,0,23,0
