<<<<<<< HEAD
timestamp,location,rainfall,humidity,temperature,wind_speed
1/1/2015,Bandar Lampung,0.1,98,24.8,2
2/1/2015,Metro,0.1,99,26.3,1.9
3/1/2015,Lampung Barat,10.5,99,25,4
4/1/2015,Lampung Selatan,28,99,28,7.5
5/1/2015,Lampung Tengah,0.1,92,26.9,3.4
6/1/2015,Lampung Timur,79.6,87,27.1,5.4
7/1/2015,Lampung Utara,23.5,90,26.6,3.6
8/1/2015,Mesuji,15.4,99,25.6,3.5
9/1/2015,Pesawaran,84.3,92,27.3,5.6
10/1/2015,Pesisir Barat,28.2,90,27.1,5.4
11/1/2015,Pringsewu,5.5,96,26.4,1.6
12/1/2015,Tanggamus,0.1,97,25.7,3.8
13/1/2015,Tulang Bawang,15.3,99,26.8,2.5
14/1/2015,Tulang Bawang Barat,2.1,99,25.8,3.8
15/1/2015,Way Kanan,0.1,90,27.2,1.7
16/1/2015,Bandar Lampung,4.8,99,27.7,4
17/1/2015,Metro,0.1,96,28.2,1.7
18/1/2015,Lampung Barat,0.1,89,26.7,3.4
19/1/2015,Lampung Selatan,26.4,99,25.6,5.6
20/1/2015,Lampung Tengah,0.1,79,27.4,3.8
21/1/2015,Lampung Timur,5,90,27,2.5
22/1/2015,Lampung Utara,8.8,94,26.8,1.8
23/1/2015,Mesuji,0.1,95,27.8,2
24/1/2015,Pesawaran,23.8,99,25.1,2.8
25/1/2015,Pesisir Barat,0.1,94,27.5,2.8
26/1/2015,Pringsewu,0.1,87,26.6,1.3
27/1/2015,Tanggamus,0.1,80,27,4.1
28/1/2015,Tulang Bawang,0.1,82,26.2,4
29/1/2015,Tulang Bawang Barat,0.1,97,25.6,3.7
30/1/2015,Way Kanan,0.1,89,28.5,3.5
31/1/2015,Bandar Lampung,27.3,98,25.8,3.9
1/2/2015,Metro,0.1,96,27.3,2.4
2/2/2015,Lampung Barat,8.3,99,26.2,2.9
3/2/2015,Lampung Selatan,0.1,89,27.5,4.5
4/2/2015,Lampung Tengah,22.8,99,25.8,4.2
5/2/2015,Lampung Timur,8.8,99,25.4,2
6/2/2015,Lampung Utara,0.1,97,26.5,2.4
7/2/2015,Mesuji,0.1,81,26.6,2.2
8/2/2015,Pesawaran,0.1,87,25.6,3.6
9/2/2015,Pesisir Barat,27.3,85,26.5,4.6
10/2/2015,Pringsewu,4.2,99,25.9,1.3
11/2/2015,Tanggamus,0.1,83,26.6,3.3
12/2/2015,Tulang Bawang,23.1,98,26,3.3
13/2/2015,Tulang Bawang Barat,15.3,91,26.5,1.3
14/2/2015,Way Kanan,21.9,99,25.9,3.5
15/2/2015,Bandar Lampung,8.2,90,27.4,3.5
16/2/2015,Metro,22.4,99,26.5,2.9
17/2/2015,Lampung Barat,9.6,99,25.2,2
18/2/2015,Lampung Selatan,0.1,84,27,4.4
19/2/2015,Lampung Tengah,0.1,90,25.7,4.5
20/2/2015,Lampung Timur,0.1,99,25.8,3.6
21/2/2015,Lampung Utara,3.4,95,26.3,2.2
22/2/2015,Mesuji,16,99,28.2,4.2
23/2/2015,Pesawaran,29,86,28.6,7.3
24/2/2015,Pesisir Barat,0.1,84,25.6,3
25/2/2015,Pringsewu,0.1,98,26.4,2.8
26/2/2015,Tanggamus,0.1,88,25.9,1.4
27/2/2015,Tulang Bawang,16.9,91,28.1,3.7
28/2/2015,Tulang Bawang Barat,0.1,87,28.1,1.3
1/3/2015,Way Kanan,0.1,94,27.5,4
2/3/2015,Bandar Lampung,8.5,89,26.7,3.4
3/3/2015,Metro,0.1,83,26.7,1.7
4/3/2015,Lampung Barat,0.1,81,27.1,3.6
5/3/2015,Lampung Selatan,0.1,89,27,2.2
6/3/2015,Lampung Tengah,58.8,99,26.4,3.4
7/3/2015,Lampung Timur,0.1,91,26.5,3.9
8/3/2015,Lampung Utara,0.1,94,28,2.9
9/3/2015,Mesuji,18.4,94,26.1,2.3
10/3/2015,Pesawaran,13,99,27.5,2.1
11/3/2015,Pesisir Barat,24.9,99,26.1,1.8
12/3/2015,Pringsewu,21.5,99,26.1,1.6
13/3/2015,Tanggamus,0.1,99,26.9,1.4
14/3/2015,Tulang Bawang,0.1,92,27,1.3
15/3/2015,Tulang Bawang Barat,6.5,99,25.5,1.6
16/3/2015,Way Kanan,0.1,90,25.9,2.1
17/3/2015,Bandar Lampung,20.7,86,27.5,1.4
18/3/2015,Metro,6.5,99,27.3,3.7
19/3/2015,Lampung Barat,6.8,87,27.9,2.4
20/3/2015,Lampung Selatan,0.1,87,27.6,3.6
21/3/2015,Lampung Tengah,5.5,89,27,1.3
22/3/2015,Lampung Timur,0.1,84,26.1,4.3
23/3/2015,Lampung Utara,5.2,99,26.8,2.7
24/3/2015,Mesuji,12.3,93,26.3,4.4
25/3/2015,Pesawaran,0.1,82,27.4,1.8
26/3/2015,Pesisir Barat,0.1,88,27.3,1.3
27/3/2015,Pringsewu,18.9,92,25.8,2.7
28/3/2015,Tanggamus,0.1,99,26.7,3.2
29/3/2015,Tulang Bawang,9.6,99,26.8,1.2
30/3/2015,Tulang Bawang Barat,23.1,99,24.7,3.1
31/3/2015,Way Kanan,8.5,99,28.5,3.8
1/4/2015,Bandar Lampung,0.1,92,26.2,2.8
2/4/2015,Metro,0.1,82,27.5,4.2
3/4/2015,Lampung Barat,0.1,90,26,4.5
4/4/2015,Lampung Selatan,0.1,87,26.9,2
5/4/2015,Lampung Tengah,0.1,93,26.7,2.1
6/4/2015,Lampung Timur,28.7,99,27.4,4
7/4/2015,Lampung Utara,27.2,94,25.3,5.4
8/4/2015,Mesuji,0.1,80,27.4,3.8
9/4/2015,Pesawaran,0.1,78,28.8,2.3
10/4/2015,Pesisir Barat,0.1,98,25.3,3.4
11/4/2015,Pringsewu,0.1,95,26.4,2.1
12/4/2015,Tanggamus,11.1,99,28.2,2.5
13/4/2015,Tulang Bawang,3.2,99,26.8,4.1
14/4/2015,Tulang Bawang Barat,19.8,99,26.8,4.1
15/4/2015,Way Kanan,52.1,99,27,6.3
16/4/2015,Bandar Lampung,29.6,95,27.9,7.9
17/4/2015,Metro,24.1,99,25.7,4.1
18/4/2015,Lampung Barat,23.2,97,25.8,2
19/4/2015,Lampung Selatan,15.4,96,26,3.6
20/4/2015,Lampung Tengah,0.1,90,27.6,1.7
21/4/2015,Lampung Timur,25.6,99,27.1,4.9
22/4/2015,Lampung Utara,0.1,88,28.1,3.8
23/4/2015,Mesuji,0.1,95,26.2,4.4
24/4/2015,Pesawaran,6.8,98,26.1,1.7
25/4/2015,Pesisir Barat,16.1,99,25.1,4
26/4/2015,Pringsewu,17.3,94,26.3,1.9
27/4/2015,Tanggamus,0.1,88,25.9,3.8
28/4/2015,Tulang Bawang,0.1,93,25.6,2.5
29/4/2015,Tulang Bawang Barat,25.2,94,26.6,5.5
30/4/2015,Way Kanan,7.4,88,27.6,1.4
1/5/2015,Bandar Lampung,0.1,71,28.3,3.5
2/5/2015,Metro,0.1,62,31.4,2
3/5/2015,Lampung Barat,0.1,69,29.4,4.1
4/5/2015,Lampung Selatan,0.1,73,30.2,3.4
5/5/2015,Lampung Tengah,0.1,76,27.8,3.4
6/5/2015,Lampung Timur,0.1,75,29.6,3.6
7/5/2015,Lampung Utara,0.1,71,29.3,3.3
8/5/2015,Mesuji,0.1,67,28.8,3.8
9/5/2015,Pesawaran,0.1,79,29.5,5.1
10/5/2015,Pesisir Barat,0.1,61,29.6,3.9
11/5/2015,Pringsewu,0.1,78,30.1,2.9
12/5/2015,Tanggamus,0.1,78,29.4,2.4
13/5/2015,Tulang Bawang,0.1,65,30.4,4.2
14/5/2015,Tulang Bawang Barat,3.4,75,28.9,1.7
15/5/2015,Way Kanan,0.1,72,28.1,3.6
16/5/2015,Bandar Lampung,0.1,71,30.8,3.6
17/5/2015,Metro,0.1,67,31.1,4.7
18/5/2015,Lampung Barat,0.1,68,29.8,5.3
19/5/2015,Lampung Selatan,0.1,67,31.7,3.1
20/5/2015,Lampung Tengah,0.1,64,28.2,4.6
21/5/2015,Lampung Timur,0.1,73,28.9,4
22/5/2015,Lampung Utara,0.1,73,31.5,4.2
23/5/2015,Mesuji,0.1,81,28.4,4.3
24/5/2015,Pesawaran,0.1,75,28.6,2.5
25/5/2015,Pesisir Barat,6,70,32,3.2
26/5/2015,Pringsewu,0.1,62,30,2.6
27/5/2015,Tanggamus,0.1,73,29,3.6
28/5/2015,Tulang Bawang,2.5,76,31,2.5
29/5/2015,Tulang Bawang Barat,0.1,68,29.9,4.5
30/5/2015,Way Kanan,0.1,64,30,2.3
31/5/2015,Bandar Lampung,0.1,75,29.1,4.9
1/6/2015,Metro,0.1,75,29.8,1.5
2/6/2015,Lampung Barat,0.1,60,30.2,3.9
3/6/2015,Lampung Selatan,0.1,61,29.6,3.6
4/6/2015,Lampung Tengah,0.1,71,30.5,3
5/6/2015,Lampung Timur,0.1,59,30.3,4.8
6/6/2015,Lampung Utara,0.1,67,29.7,5
7/6/2015,Mesuji,0.1,72,31.3,2.2
8/6/2015,Pesawaran,0.1,60,30.1,2.5
9/6/2015,Pesisir Barat,0.1,66,27.6,4.1
10/6/2015,Pringsewu,0.1,63,29.5,3.7
11/6/2015,Tanggamus,0.1,64,30.3,3.4
12/6/2015,Tulang Bawang,0.1,78,28,2.6
13/6/2015,Tulang Bawang Barat,0.1,67,29,4.8
14/6/2015,Way Kanan,0.1,72,30.3,4.5
15/6/2015,Bandar Lampung,0.1,61,30.3,2.6
16/6/2015,Metro,0.1,59,31,4.2
17/6/2015,Lampung Barat,0.1,80,29.2,3.8
18/6/2015,Lampung Selatan,0.1,59,29.9,2.8
19/6/2015,Lampung Tengah,0.1,62,30.1,3.2
20/6/2015,Lampung Timur,8.4,72,29.6,2.1
21/6/2015,Lampung Utara,0.1,73,29.2,4.1
22/6/2015,Mesuji,0.1,69,28,2.7
23/6/2015,Pesawaran,0.1,69,30.4,2.7
24/6/2015,Pesisir Barat,0.1,78,29.8,1.8
25/6/2015,Pringsewu,0.1,71,28.1,4.5
26/6/2015,Tanggamus,0.1,74,30.3,4.1
27/6/2015,Tulang Bawang,0.1,64,31.4,5.4
28/6/2015,Tulang Bawang Barat,0.1,73,27.9,4.5
29/6/2015,Way Kanan,5.4,76,29.8,1.6
30/6/2015,Bandar Lampung,2.5,86,30.3,3.5
1/7/2015,Metro,0.1,67,28.1,4.3
2/7/2015,Lampung Barat,0.1,66,29.3,1.5
3/7/2015,Lampung Selatan,0.1,62,29.9,4.5
4/7/2015,Lampung Tengah,0.1,61,28.8,4.4
5/7/2015,Lampung Timur,0.1,67,30.8,3.9
6/7/2015,Lampung Utara,0.1,71,28.7,3.6
