sensor_id,timestamp,flow_rate_m3s,velocity_ms,status
FR001,2025-04-28T01:39:21.151813,19.36,0.97,normal
FR001,2025-04-28T02:09:21.151813,19.5,0.98,normal
FR001,2025-04-28T02:39:21.151813,21.97,1.1,normal
FR001,2025-04-28T03:09:21.151813,17.82,0.89,normal
FR001,2025-04-28T03:39:21.151813,24.93,1.25,normal
FR001,2025-04-28T04:09:21.151813,14.89,0.74,normal
FR001,2025-04-28T04:39:21.151813,18.66,0.93,normal
FR001,2025-04-28T05:09:21.151813,19.72,0.99,normal
FR001,2025-04-28T05:39:21.151813,21.79,1.09,normal
FR001,2025-04-28T06:09:21.151813,18.09,0.9,normal
FR001,2025-04-28T06:39:21.151813,19.46,0.97,normal
FR001,2025-04-28T07:09:21.151813,18.92,0.95,normal
FR001,2025-04-28T07:39:21.151813,18.54,0.93,normal
FR001,2025-04-28T08:09:21.151813,18.39,0.92,normal
FR001,2025-04-28T08:39:21.151813,18.56,0.93,normal
FR001,2025-04-28T09:09:21.151813,20.44,1.02,normal
FR001,2025-04-28T09:39:21.151813,17.2,0.86,normal
FR001,2025-04-28T10:09:21.151813,17.96,0.9,normal
FR001,2025-04-28T10:39:21.151813,22.4,1.12,normal
FR001,2025-04-28T11:09:21.151813,18.33,0.92,normal
FR001,2025-04-28T11:39:21.151813,17.13,0.86,normal
FR001,2025-04-28T12:09:21.151813,22.39,1.12,normal
FR001,2025-04-28T12:39:21.151813,16.02,0.8,normal
FR001,2025-04-28T13:09:21.151813,17.6,0.88,normal
FR001,2025-04-28T13:39:21.151813,15.7,0.78,normal
FR001,2025-04-28T14:09:21.151813,18.89,0.94,normal
FR001,2025-04-28T14:39:21.151813,17.42,0.87,normal
FR001,2025-04-28T15:09:21.151813,15.18,0.76,normal
FR001,2025-04-28T15:39:21.151813,23.8,1.19,normal
FR001,2025-04-28T16:09:21.151813,20.42,1.02,normal
FR001,2025-04-28T16:39:21.151813,41.46,2.07,flood
FR001,2025-04-28T17:09:21.151813,16.64,0.83,normal
FR001,2025-04-28T17:39:21.151813,18.41,0.92,normal
FR001,2025-04-28T18:09:21.151813,21.03,1.05,normal
FR001,2025-04-28T18:39:21.151813,22.26,1.11,normal
FR001,2025-04-28T19:09:21.151813,21.01,1.05,normal
FR001,2025-04-28T19:39:21.151813,20.72,1.04,normal
FR001,2025-04-28T20:09:21.151813,18.66,0.93,normal
FR001,2025-04-28T20:39:21.151813,21.48,1.07,normal
FR001,2025-04-28T21:09:21.151813,21.77,1.09,normal
FR001,2025-04-28T21:39:21.151813,19.58,0.98,normal
FR001,2025-04-28T22:09:21.151813,16.51,0.83,normal
FR001,2025-04-28T22:39:21.151813,21.22,1.06,normal
FR001,2025-04-28T23:09:21.151813,19.29,0.96,normal
FR001,2025-04-28T23:39:21.151813,18.32,0.92,normal
FR001,2025-04-29T00:09:21.151813,20.85,1.04,normal
FR001,2025-04-29T00:39:21.151813,17.31,0.87,normal
FR001,2025-04-29T01:09:21.151813,20.59,1.03,normal
FR001,2025-04-29T01:39:21.151813,21.71,1.09,normal
FR001,2025-04-29T02:09:21.151813,25.07,1.25,high
FR001,2025-04-29T02:39:21.151813,17.89,0.89,normal
FR001,2025-04-29T03:09:21.151813,19.04,0.95,normal
FR001,2025-04-29T03:39:21.151813,20.08,1.0,normal
FR001,2025-04-29T04:09:21.151813,21.59,1.08,normal
FR001,2025-04-29T04:39:21.151813,19.5,0.98,normal
FR001,2025-04-29T05:09:21.151813,18.8,0.94,normal
FR001,2025-04-29T05:39:21.151813,20.67,1.03,normal
FR001,2025-04-29T06:09:21.151813,17.31,0.87,normal
FR001,2025-04-29T06:39:21.151813,23.07,1.15,normal
FR001,2025-04-29T07:09:21.151813,20.27,1.01,normal
FR001,2025-04-29T07:39:21.151813,20.16,1.01,normal
FR001,2025-04-29T08:09:21.151813,20.98,1.05,normal
FR001,2025-04-29T08:39:21.151813,17.01,0.85,normal
FR001,2025-04-29T09:09:21.151813,19.0,0.95,normal
FR001,2025-04-29T09:39:21.151813,21.63,1.08,normal
FR001,2025-04-29T10:09:21.151813,18.73,0.94,normal
FR001,2025-04-29T10:39:21.151813,18.2,0.91,normal
FR001,2025-04-29T11:09:21.151813,16.94,0.85,normal
FR001,2025-04-29T11:39:21.151813,23.23,1.16,normal
FR001,2025-04-29T12:09:21.151813,18.25,0.91,normal
FR001,2025-04-29T12:39:21.151813,19.23,0.96,normal
FR001,2025-04-29T13:09:21.151813,19.62,0.98,normal
FR001,2025-04-29T13:39:21.151813,23.47,1.17,normal
FR001,2025-04-29T14:09:21.151813,16.2,0.81,normal
FR001,2025-04-29T14:39:21.151813,16.36,0.82,normal
FR001,2025-04-29T15:09:21.151813,21.57,1.08,normal
FR001,2025-04-29T15:39:21.151813,21.3,1.06,normal
FR001,2025-04-29T16:09:21.151813,20.4,1.02,normal
FR001,2025-04-29T16:39:21.151813,22.57,1.13,normal
FR001,2025-04-29T17:09:21.151813,20.59,1.03,normal
FR001,2025-04-29T17:39:21.151813,33.59,1.68,high
FR001,2025-04-29T18:09:21.151813,18.44,0.92,normal
FR001,2025-04-29T18:39:21.151813,18.06,0.9,normal
FR001,2025-04-29T19:09:21.151813,18.13,0.91,normal
FR001,2025-04-29T19:39:21.151813,21.65,1.08,normal
FR001,2025-04-29T20:09:21.151813,31.08,1.55,high
