sensor_id,timestamp,moisture_percent,soil_temperature_c,conductivity_ms_cm
SM001,2025-04-28T01:39:21.304242,56.5,26.2,1.098
SM001,2025-04-28T02:39:21.304242,59.4,26.8,1.187
SM001,2025-04-28T03:39:21.304242,60.5,27.0,1.321
SM001,2025-04-28T04:39:21.304242,73.3,26.1,1.329
SM001,2025-04-28T05:39:21.304242,59.9,26.9,1.067
SM001,2025-04-28T06:39:21.304242,60.3,26.2,1.332
SM001,2025-04-28T07:39:21.304242,59.1,27.0,1.063
SM001,2025-04-28T08:39:21.304242,75.6,27.0,1.387
SM001,2025-04-28T09:39:21.304242,57.2,26.9,1.108
SM001,2025-04-28T10:39:21.304242,54.4,25.9,1.031
SM001,2025-04-28T11:39:21.304242,68.2,27.2,1.329
SM001,2025-04-28T12:39:21.304242,52.8,26.5,1.299
SM001,2025-04-28T13:39:21.304242,54.7,26.9,0.855
SM001,2025-04-28T14:39:21.304242,56.2,25.7,1.045
SM001,2025-04-28T15:39:21.304242,56.3,27.2,1.062
SM001,2025-04-28T16:39:21.304242,52.1,26.6,1.243
SM001,2025-04-28T17:39:21.304242,61.1,27.7,1.266
SM001,2025-04-28T18:39:21.304242,60.5,26.9,1.269
SM001,2025-04-28T19:39:21.304242,59.0,27.3,1.101
SM001,2025-04-28T20:39:21.304242,56.2,26.9,1.153
SM001,2025-04-28T21:39:21.304242,58.9,26.5,1.218
SM001,2025-04-28T22:39:21.304242,56.6,26.6,1.267
SM001,2025-04-28T23:39:21.304242,64.2,26.5,1.347
SM001,2025-04-29T00:39:21.304242,55.1,26.6,1.216
SM001,2025-04-29T01:39:21.304242,61.7,26.9,0.989
SM001,2025-04-29T02:39:21.304242,61.2,27.4,1.179
SM001,2025-04-29T03:39:21.304242,74.3,27.1,1.481
SM001,2025-04-29T04:39:21.304242,60.6,26.8,1.18
SM001,2025-04-29T05:39:21.304242,60.0,27.0,1.31
SM001,2025-04-29T06:39:21.304242,57.2,27.7,1.223
SM001,2025-04-29T07:39:21.304242,58.0,27.4,1.206
SM001,2025-04-29T08:39:21.304242,56.9,26.4,1.131
SM001,2025-04-29T09:39:21.304242,57.1,27.1,1.092
SM001,2025-04-29T10:39:21.304242,52.9,27.1,1.144
SM001,2025-04-29T11:39:21.304242,70.3,26.1,1.342
SM001,2025-04-29T12:39:21.304242,55.0,25.9,1.197
SM001,2025-04-29T13:39:21.304242,51.6,27.4,0.883
SM001,2025-04-29T14:39:21.304242,55.9,26.6,1.108
SM001,2025-04-29T15:39:21.304242,59.2,27.4,1.246
SM001,2025-04-29T16:39:21.304242,55.2,27.2,1.121
SM001,2025-04-29T17:39:21.304242,57.0,26.3,1.25
SM001,2025-04-29T18:39:21.304242,62.3,27.5,1.199
SM001,2025-04-29T19:39:21.304242,53.9,26.6,0.967
SM001,2025-04-29T20:39:21.304242,59.5,27.0,1.291
SM001,2025-04-29T21:39:21.304242,57.0,27.4,1.108
SM001,2025-04-29T22:39:21.304242,58.7,26.7,1.044
SM001,2025-04-29T23:39:21.304242,53.6,26.1,1.062
SM001,2025-04-30T00:39:21.304242,53.4,26.6,1.035
SM001,2025-04-30T01:39:21.304242,57.2,26.6,1.01
SM001,2025-04-30T02:39:21.304242,58.6,26.8,1.301
